Code,Code+B1,Definition,Keywords,Notes
BD-1800.2000,Food Banks,"Programs that acquire food products through donations, canned food drives, food bank programs or direct purchase and distribute the food to people who are in emergency situations. Some pantries deliver food to people whose disabilities or illnesses make it difficult for them to leave home.",FOOD (groceries),
BD-2400.2250,Farmers Markets,Programs that enable farmers to gather in empty parking areas or similar spaces and sell freshly picked produce directly to consumers at lower than retail but higher than wholesale prices.,FARMERS MARKETS,
BD-2600.1500,Community Gardening,"Programs that provide plots of land on which groups of people living in a neighbourhood can grow fruits, vegetables, herbs and flowers. Community gardens provide access to fresh produce and plants; may be located in parks, schools, hospital grounds or other open areas; and may be nurtured communally and the bounty shared, have individual plots for personal use, or be dedicated to ""urban agriculture"" where produce is grown for a market. Some have raised beds that are accessible to people with disabilities. The gardens provide an opportunity for participants to savour the freshness, flavour and wholesomeness of home-grown produce; save money on their food bills; grow traditional foods not available in the supermarket; or simply get some exercise and enjoy the benefits of being outdoors. They also support a community's food security, contribute to the preservation of open space, strengthen community bonds, provide a sense of connection to the environment and offer opportunities for community education.",GARDENING,
BD-5000.1500,Congregate Meals/Nutrition Sites,"Programs that provide hot meals on a regular basis for people who are elderly, adults with disabilities or other targeted populations who may be at risk for nutritional deficits without assistance and who can profit from an opportunity to socialize with others. Congregate meals are often combined with recreational, educational and social activities.",FOOD (meals),
BD-5000.3500,Home Delivered Meals,Programs that prepare and deliver regular meals to older adults and people with disabilities who are unable to shop and/or prepare the food for themselves or travel to a site where a meal is being served.,DELIVERY * FOOD (meals),
BD-5000.8300,Homeless Meals,"Programs offered by churches, restaurants and other organizations that provide meals in a central location for people who lack the resources needed to buy and prepare food. The food may be distributed to people who line up for the meal or may be served to people seated in a dining hall setting, and participants rarely need to establish eligibility for the service.",FOOD (meals) * homelessness,
BH-1800.1500,Crisis Shelter,"Programs that provide a temporary place to stay for people who are unable to return to their own homes due to sexual assault, domestic violence or other problems. Also included are programs that provide motel vouchers for people who are in one of these situations.",HOUSING (temporary) * abuse * emergency * Victims,
,,,TRANSITION HOUSES (first stage),
,,,TRANSITION HOUSES (second stage),
,,,TRANSITION HOUSES (specialized),
BH-1800.8500,Homeless Shelter,"Programs that provide a temporary place to stay (usually three days to two weeks), generally in dormitory-style facilities with very little privacy, for people who have no permanent housing. Also included are programs that provide motel vouchers for people who are homeless.",HOUSING (temporary) * emergency * homelessness,
BH-3800,Housing Expense Assistance,"Programs that pay current housing bills or finance new living accommodations for people who are otherwise unable to provide for their housing needs. Housing expense assistance programs may have age, income, disability, need or other eligibility requirements.",FINANCIAL ASSISTANCE * housing,
BH-3900.3050,Home Rental Listings,Programs that maintain lists of available rental housing for review by people who are in search of housing.,REGISTRIES * housing,
BH-3900.3100,Housing Search Assistance,Programs that assign a staff member to assist people who are looking for housing to survey the available residences and to choose and obtain the most suitable option.,HOUSING SEARCH ASSISTANCE,
BH-7000.4600,Low Income/Subsidized Rental Housing,"Housing programs that make rental housing more readily available to homeless people and/or low-income individuals and families. Some complexes or housing units may be reserved for low-income older adults, people with disabilities and/or other special populations.",HOUSING,
BH-8400.6000,Older Adult/Disability Related Supportive Housing,"Residential facilities for older adults and/or people with disabilities who are unable to function in an independent living environment because they need assistance with toileting, bathing, dressing, medication management and administration, meals and housekeeping and other activities of daily living, but do not require nursing care on a regular basis. Living options range from provincial institutions for individuals with the most severe disabilities who require intensive services to settings that enable individuals with disabilities to live with their own families or in their own homes or apartments with supportive services from community-based supported living providers. Alternatives in between include health care facilities for people with a primary need for developmental services in combination with an intermittent need for skilled nursing care; community care facilities (residential care homes or group homes) for people who require varying levels of supervision and assistance in the activities of daily living; assisted living facilities; continuing care retirement communities; foster family placements for adults who will benefit from interaction in a family environment; and semi-independent living facilities for individuals with disabilities who need minimal levels of support to live and work in the community. Some of these facilities are licensed by the province.",COMMUNITY LIVING SUPPORT * HOUSING,
,,,HOUSING * disability,
,,,HOUSING * Seniors,
,,,RESIDENTIAL CARE,
BH-8600,Transitional Housing/Shelter,"Programs that provide extended shelter and supportive services for homeless individuals and/or families with the goal of helping them live independently and transition into permanent housing. Some programs require that the individual/family be transitioning from a short-term emergency shelter. The length of stay varies considerably by program. It is generally longer than two weeks but typically 60 days or more and, in many cases, up to two years or more. The supportive services may be provided directly by the organization managing the housing or may be coordinated by them and provided by other public or private agencies. Transitional housing/shelter is generally provided in apartment style facilities with a higher degree of privacy than short-term homeless shelters; may be provided at no cost to the resident; and may be configured for specialized groups within the homeless population such as people with substance abuse problems, homeless mentally ill, homeless domestic violence victims, veterans or homeless people with AIDS/HIV. In some cases, a ""transition in place"" option allows families to continue living in the same complex (if not the same unit) where their transitional housing unit is located when they are ready to move to permanent housing. Included are post-domestic violence shelter housing programs that make affordable rental housing (or other accommodations) available to women, generally those who are coming directly out of a domestic violence shelter or other crisis shelter, often in apartment complexes owned by the shelter.",HOUSING (temporary),
BM-3000,Household Goods,"Programs that pay for or provide new, reconditioned or secondhand furnishings for homes or apartments.",FURNITURE/HOUSEHOLD GOODS,
BM-5050.1500,Cell Phones,"Programs that pay for or provide cellular phones, i.e., electronic devices that are used for mobile telecommunications (mobile telephone, text messaging or data transmission) over a cellular network of specialized base stations known as cell sites. Also included are programs that furnish smartphones, i.e., mobile phones with advanced capabilities such as Wi-Fi and e-book reader features that function more like miniature computers with phone capabilities.  Some programs limit their cell phone provision service to special targeted populations such as victims of domestic abuse or others in vulnerable situations who are authorized to use the phones in emergency situations only.",CELL PHONES * family violence * safety * Victims,
